time,title,author,page
2017-03-28,マリアビートル (角川文庫),伊坂 幸太郎,591
2017-03-23,空飛ぶタイヤ(下) (講談社文庫),池井戸 潤,448
2017-03-23,空飛ぶタイヤ(上) (講談社文庫),池井戸 潤,480
2017-03-21,ベター・ハーフ (集英社文庫),唯川 恵,445
2017-03-21,プリズム (幻冬舎文庫),百田 尚樹,398
2017-03-14,光の帝国 常野物語 (集英社文庫),恩田 陸,283
2017-03-09,神様のボート (新潮文庫),江國 香織,286
2017-03-05,19歳 一家四人惨殺犯の告白 (角川文庫),永瀬 隼介,256
2017-03-02,とんび (角川文庫),重松 清,420
2017-02-25,三匹のおっさん (文春文庫),有川 浩,448
2017-02-24,東京タワー (新潮文庫),江國 香織,360
2017-02-19,オー!ファーザー (新潮文庫),伊坂 幸太郎,557
2017-02-02,幸福な生活 (祥伝社文庫),百田 尚樹,344
2017-02-02,白ゆき姫殺人事件 (集英社文庫),湊 かなえ,312
2017-02-02,真夏の方程式 (文春文庫),東野 圭吾,463
2017-01-24,トワイライト (文春文庫),重松 清,451
2017-01-24,続・ボクの妻と結婚してください。 (講談社文…,樋口 卓治,288
2017-01-06,ぼくは明日、昨日のきみとデートする (宝島社…,七月 隆文,287
2017-01-06,ボクの妻と結婚してください。 (講談社文庫),樋口 卓治,288
2016-11-14,ハリー・ポッターと呪いの子 第一部、第二部 …,"J.K.ローリング,ジョン・ティファニー,ジャック・ソーン",416
2016-11-13,新世界より(下) (講談社文庫),貴志 祐介,560
2016-11-09,新世界より(中) (講談社文庫),貴志 祐介,448
2016-11-09,新世界より(上) (講談社文庫),貴志 祐介,488
2016-11-09,間抜けの構造 (新潮新書),ビートたけし,187
2016-11-09,八日目の蝉 (中公文庫),角田 光代,376
2016-10-17,金持ち父さん貧乏父さん,"ロバート キヨサキ,シャロン・レクター(公認会計士)",288
2016-10-09,屍鬼（五） (新潮文庫),小野 不由美,478
2016-10-09,屍鬼（四） (新潮文庫),小野 不由美,574
2016-10-03,屍鬼（三） (新潮文庫),小野 不由美,425
2016-10-03,屍鬼(二) (新潮文庫),小野 不由美,503
2016-10-03,屍鬼（一） (新潮文庫),小野 不由美,583
2016-09-28,その女アレックス (文春文庫),ピエール ルメートル,457
